        MR        MRT         R2
 7.571E+02  6.222E+02  6.755E-01
 1.650E+03  3.507E+02  4.518E-02
 8.835E+02  6.448E+02  5.326E-01
 1.085E+03  2.527E+02  5.422E-02
 1.124E+03  4.029E+02  1.285E-01
 5.038E+02  1.439E+02  8.156E-02
 1.166E+03  3.893E+02  1.115E-01
 8.150E+02  6.995E+02  7.367E-01
 6.354E+02  5.155E+02  6.583E-01
 1.064E+03  3.308E+02  9.668E-02
 8.957E+02  8.283E+02  8.552E-01
 6.480E+02  1.535E+02  5.608E-02
 5.845E+02  3.697E+02  4.001E-01
 1.293E+03  7.665E+02  3.514E-01
 1.971E+03  7.043E+02  1.277E-01
 1.063E+03  5.957E+02  3.139E-01
 1.014E+03  8.489E+02  7.009E-01
 1.183E+03  5.572E+02  2.220E-01
 8.134E+02  3.836E+02  2.224E-01
 5.867E+02  2.609E+02  1.978E-01
 8.061E+02  2.972E+02  1.359E-01
 2.404E+03  8.599E+02  1.279E-01
 6.106E+02  4.101E+02  4.509E-01
 1.208E+03  5.436E+02  2.025E-01
 1.615E+03  7.860E+02  2.367E-01
 9.940E+02  2.269E+02  5.209E-02
 7.780E+02  3.740E+02  2.310E-01
 9.846E+02  7.982E+02  6.572E-01
 7.573E+02  4.283E+02  3.198E-01
 3.398E+03  1.245E+03  1.342E-01
 1.111E+03  3.309E+02  8.871E-02
 1.525E+03  3.327E+02  4.762E-02
 1.717E+03  4.613E+02  7.217E-02
 1.030E+03  6.293E+02  3.735E-01
 1.867E+03  1.137E+03  3.708E-01
 7.897E+02  5.958E+02  5.693E-01
 1.053E+03  5.749E+02  2.983E-01
 2.393E+03  4.411E+02  3.397E-02
 9.468E+02  3.791E+02  1.603E-01
 1.170E+03  6.364E+02  2.956E-01
 5.312E+02  1.961E+02  1.362E-01
 5.246E+02  4.544E+02  7.503E-01
 1.845E+03  6.174E+02  1.120E-01
 7.550E+02  8.951E+01  1.405E-02
 1.307E+03  4.708E+02  1.297E-01
 8.869E+02  4.847E+02  2.987E-01
 6.439E+02  2.780E+02  1.864E-01
 7.334E+02  1.905E+02  6.748E-02
 8.037E+02  3.913E+02  2.370E-01
 1.692E+03  1.036E+03  3.750E-01
 2.158E+03  4.925E+02  5.208E-02
 7.188E+02  1.130E+02  2.470E-02
 9.942E+02  5.089E+02  2.620E-01
 1.226E+03  7.900E+02  4.151E-01
 9.312E+02  6.270E+02  4.534E-01
 4.460E+02  2.906E+02  4.245E-01
 1.041E+03  4.285E+02  1.695E-01
 9.635E+02  3.902E+02  1.640E-01
 1.273E+03  9.270E+02  5.301E-01
 1.730E+03  6.270E+02  1.313E-01
 8.651E+02  4.992E+02  3.329E-01
 3.988E+02  2.739E+02  4.715E-01
 1.266E+03  7.424E+02  3.439E-01
 1.288E+03  3.494E+02  7.356E-02
 1.406E+03  3.864E+02  7.547E-02
 1.039E+03  2.607E+02  6.295E-02
 5.660E+02  4.866E+02  7.390E-01
 9.721E+02  6.620E+02  4.638E-01
 1.297E+03  3.709E+02  8.174E-02
 6.876E+02  1.891E+02  7.564E-02
 1.658E+03  7.856E+02  2.245E-01
 1.227E+03  4.904E+02  1.597E-01
 1.692E+03  3.935E+02  5.411E-02
 7.254E+02  3.060E+02  1.780E-01
 8.718E+02  6.912E+02  6.287E-01
 6.986E+02  2.544E+02  1.326E-01
 1.624E+03  8.129E+02  2.507E-01
 6.108E+02  5.379E+02  7.757E-01
 9.362E+02  4.436E+02  2.245E-01
 6.930E+02  4.095E+02  3.492E-01
 8.968E+02  3.143E+02  1.229E-01
 9.673E+02  5.014E+02  2.687E-01
 1.007E+03  5.179E+02  2.647E-01
 1.235E+03  7.022E+02  3.232E-01
 1.425E+03  6.035E+02  1.794E-01
 2.188E+03  9.479E+02  1.877E-01
 1.017E+03  5.480E+02  2.903E-01
 1.857E+03  4.010E+02  4.660E-02
 7.488E+02  5.133E+02  4.699E-01
 5.853E+02  3.813E+02  4.245E-01
 9.904E+02  6.398E+02  4.174E-01
 1.999E+03  9.846E+02  2.426E-01
 8.646E+02  2.472E+02  8.174E-02
 8.154E+02  6.120E+02  5.634E-01
 5.645E+02  2.757E+02  2.384E-01
 1.442E+03  4.411E+02  9.358E-02
 1.181E+03  5.746E+02  2.365E-01
 1.375E+03  4.406E+02  1.027E-01
 5.413E+02  4.938E+02  8.322E-01
 9.112E+02  4.859E+02  2.844E-01
 8.468E+02  3.865E+02  2.083E-01
 1.314E+03  6.718E+02  2.613E-01
 8.797E+02  5.673E+02  4.159E-01
 2.114E+03  9.077E+02  1.844E-01
 7.138E+02  4.242E+02  3.532E-01
 4.859E+02  1.408E+02  8.392E-02
 1.286E+03  8.163E+02  4.027E-01
 1.114E+03  4.214E+02  1.430E-01
 7.801E+02  3.064E+02  1.543E-01
 1.830E+03  1.017E+03  3.090E-01
 6.263E+02  3.197E+02  2.605E-01
 6.514E+02  4.161E+02  4.080E-01
 4.626E+02  2.173E+02  2.207E-01
 5.595E+02  3.005E+02  2.885E-01
 1.152E+03  4.845E+02  1.768E-01
 2.475E+03  8.277E+02  1.119E-01
 7.589E+02  4.748E+02  3.915E-01
 4.736E+02  3.819E+02  6.501E-01
 1.569E+03  2.131E+02  1.844E-02
 1.167E+03  2.935E+02  6.322E-02
 6.865E+02  5.160E+02  5.650E-01
 1.259E+03  6.949E+02  3.047E-01
 2.034E+03  1.013E+03  2.483E-01
 7.953E+02  2.035E+02  6.547E-02
 8.788E+02  3.875E+02  1.945E-01
 9.587E+02  4.209E+02  1.927E-01
 1.748E+03  2.877E+02  2.709E-02
 8.131E+02  6.236E+02  5.881E-01
 1.281E+03  4.836E+02  1.425E-01
 7.659E+02  2.620E+02  1.170E-01
 1.538E+03  6.477E+02  1.774E-01
 1.009E+03  7.395E+02  5.367E-01
 6.824E+02  4.984E+02  5.335E-01
 1.093E+03  6.539E+02  3.579E-01
 9.724E+02  7.816E+02  6.461E-01
 8.010E+02  7.191E+02  8.058E-01
 6.064E+02  4.533E+02  5.588E-01
 1.187E+03  7.275E+02  3.758E-01
 1.206E+03  6.426E+02  2.841E-01
 6.685E+02  1.690E+02  6.390E-02
 8.522E+02  2.799E+02  1.079E-01
 1.032E+03  3.182E+02  9.510E-02
 9.702E+02  6.376E+02  4.319E-01
 4.087E+02  3.133E+02  5.877E-01
 7.439E+02  6.591E+02  7.849E-01
